Area (sqft),Living Area (sqft),Bedrooms,Bathrooms,Garage,Age of House (years),Location Score,Price (INR),Number of Floors
3450,2356,5,2,1,15,9,17725000,2
2668,2210,1,2,0,3,5,12896000,4
2875,2561,5,1,1,27,5,14497500,4
2408,1816,1,1,0,18,6,11276000,2
1911,1340,2,1,1,29,9,9419500,1
3456,2933,3,1,0,25,5,16402000,2
1906,1181,1,1,1,5,2,9227000,4
3051,1915,4,3,1,18,3,15469500,2
1689,1188,1,1,0,14,10,8320500,1
2272,1668,2,3,1,11,3,11504000,3
1036,869,4,1,1,29,9,6082000,3
1428,1253,4,1,1,11,8,8156000,2
858,651,1,2,0,1,6,4841000,1
2603,1948,2,2,1,8,5,12953500,3
2589,1718,4,2,1,2,10,13860500,2
702,516,3,2,1,0,2,4709000,2
1592,1396,3,2,0,13,9,8654000,1
1368,982,5,2,1,27,10,8166000,4
1724,1143,5,1,0,27,8,9318000,2
1821,1276,2,1,1,12,5,9154500,4
3460,2610,4,2,0,28,6,16910000,4
2873,2239,3,2,0,24,9,14198500,3
3110,2269,3,2,0,4,1,15265000,4
836,691,2,1,1,6,4,4792000,1
1744,1352,4,2,0,13,5,9438000,3
3153,2520,2,2,0,15,9,15338500,3
3461,2972,1,1,0,17,5,15984500,3
1366,1174,3,1,0,13,5,7237000,2
3281,2168,2,3,0,0,3,16114500,2
1590,1251,2,2,0,5,8,8455000,4
3265,2660,1,1,0,28,7,14982500,3
2359,1518,5,3,0,20,8,12715500,3
2920,2490,3,1,0,9,4,14260000,1
2879,1883,2,3,1,5,8,14605500,4
3415,2867,3,3,0,1,10,17347500,1
1095,710,5,2,0,6,4,6907500,4
1647,1354,2,2,0,16,1,8141500,4
2326,1498,1,3,0,26,4,11047000,2
3149,2247,3,2,0,23,5,15260500,2
2672,1718,1,1,0,13,10,12764000,1
2935,1999,5,1,0,22,8,14867500,4
937,838,5,3,1,6,10,6846500,3
2537,1604,3,3,1,21,6,12946500,2
2417,1744,5,1,1,25,10,12726500,3
736,591,4,1,0,20,5,4562000,1
3155,1982,3,3,0,8,3,15687500,2
2874,1818,4,1,1,18,4,14323000,2
919,590,5,1,1,29,6,5705500,4
2463,1954,3,3,0,24,6,12403500,1
1515,1322,4,2,0,20,6,8317500,4
1805,1530,5,1,1,23,2,9612500,2
2497,2234,2,2,1,10,8,12586500,1
2733,2113,2,2,1,2,8,13808500,2
1525,1354,1,1,1,22,6,7372500,1
2700,1866,2,2,0,25,4,12850000,2
1858,1349,4,3,1,3,2,10351000,3
2582,1855,2,1,1,4,6,12789000,3
1032,633,3,1,0,3,6,5984000,4
1598,1356,3,2,1,12,10,8901000,3
2747,1668,3,1,1,8,3,13601500,2
1589,1301,2,1,1,27,2,7660500,2
1198,865,2,2,0,22,4,6151000,3
3050,1835,1,2,0,13,8,14565000,4
995,683,5,1,1,15,5,6277500,3
1014,713,1,1,0,21,3,4793000,1
1538,1367,4,3,0,5,5,8871000,1
2236,1785,3,3,1,26,9,11642000,1
3324,2536,2,1,0,9,8,15978000,3
3110,1984,5,1,1,22,10,15905000,3
1140,817,5,3,0,20,7,7180000,3
2249,1373,2,2,1,25,4,10970500,1
2545,2108,1,1,0,12,2,11812500,4
683,443,5,3,0,29,9,5043500,2
870,677,1,3,1,2,3,5075000,3
2891,2341,2,1,1,26,6,13739500,4
987,700,1,1,1,10,7,5241500,2
813,642,3,3,1,2,3,5418500,2
3465,2873,2,1,0,6,3,16422500,2
658,431,2,2,0,26,3,3591000,4
2225,1736,5,1,1,29,3,11432500,4
1442,1182,5,3,0,9,3,8559000,1
2127,1504,5,3,1,0,7,12171500,4
2329,1510,3,1,0,3,5,11770500,4
722,495,3,3,1,25,4,4599000,4
2036,1791,4,2,0,29,6,10482000,2
1762,1246,2,1,1,7,8,9139000,3
3086,1951,5,1,0,19,2,15307000,1
1161,725,2,3,0,16,3,6254500,3
2765,1808,1,2,1,4,2,13312500,3
2337,1491,3,1,0,16,7,11646500,4
1504,1125,4,3,0,8,2,8508000,1
994,700,1,1,1,7,5,5233000,3
2326,1982,2,2,1,29,10,11537000,3
2316,2001,3,3,1,6,9,12402000,1
1534,1138,5,1,1,4,8,9073000,4
1701,1474,1,3,0,3,8,8894500,3
2035,1496,3,3,1,22,3,10517500,2
674,534,2,2,1,2,1,4193000,3
894,579,2,2,1,7,2,5133000,2
620,381,1,1,0,4,7,3560000,4
1638,1061,1,3,0,4,4,8391000,3
1834,1238,1,3,0,16,10,9333000,1
1159,956,4,3,0,28,5,6705500,1
1709,1114,5,1,1,14,1,9310500,3
1772,1132,3,2,0,25,2,8874000,4
971,852,2,2,0,26,9,5299500,4
2627,2119,2,3,1,7,6,13331500,1
1417,1051,5,1,1,6,7,8456500,3
1774,1114,1,3,0,16,5,8813000,4
1764,1509,1,2,1,11,9,9018000,1
1692,1070,2,3,0,27,10,8774000,2
1883,1474,5,3,0,3,5,10763500,3
2611,2089,2,3,0,19,6,12869500,2
1445,1040,1,2,1,27,10,7312500,2
2591,2262,3,1,1,24,9,12879500,4
1120,689,1,3,0,25,5,5690000,4
970,820,3,2,0,17,4,5525000,4
2042,1564,4,3,1,3,5,11329000,3
700,548,5,1,0,9,5,4920000,2
1260,1129,4,3,1,2,5,7830000,3
2281,1767,1,1,1,25,1,10464500,4
842,706,5,2,1,4,5,6009000,2
3400,2196,1,1,1,11,5,15980000,3
1111,936,5,1,0,22,1,6309500,3
3496,2895,5,2,1,4,4,17902000,1
3202,2851,1,1,1,4,8,15379000,3
2873,2530,1,1,1,3,4,13718500,4
2141,1422,5,2,0,29,7,11304500,3
2861,2115,5,1,0,24,6,14394500,2
3365,2939,1,1,0,5,5,15792500,3
2714,2150,1,3,0,9,9,13383000,1
995,735,2,1,0,5,8,5577500,2
1211,766,2,1,1,26,5,6129500,2
1860,1312,2,1,0,21,10,9250000,1
2457,1964,4,2,0,21,7,12586500,4
1369,1140,5,1,1,0,9,8460500,2
2022,1484,3,2,0,15,7,10449000,4
1006,620,4,2,0,10,3,6077000,2
2472,1952,5,1,1,5,10,13374000,2
2103,1843,3,1,0,19,5,10433500,4
3294,2466,2,1,0,17,9,15733000,2
2869,2520,3,1,1,5,9,14510500,4
1779,1256,1,1,0,16,8,8585500,1
1253,1084,1,1,0,11,6,6218500,4
3075,2570,5,1,1,16,7,15717500,1
1781,1582,4,2,0,20,7,9564500,2
1576,1319,2,3,0,21,1,7922000,4
2039,1420,5,2,0,17,8,11135500,2
3018,2626,2,1,0,9,6,14501000,4
1967,1575,1,3,0,23,7,9641500,1
3497,2268,4,3,1,19,10,17806500,1
828,508,4,1,0,11,10,5406000,4
2927,2077,1,1,1,3,2,13861500,1
2493,2084,3,2,0,9,7,12688500,2
1913,1502,4,3,0,29,8,10228500,2
1670,1266,3,3,1,4,5,9335000,3
1574,946,2,1,1,25,1,7583000,1
2338,1708,4,1,1,3,6,12311000,2
1357,878,1,3,0,26,3,6636500,4
920,677,3,3,0,29,5,5310000,1
2921,2621,2,1,1,15,9,14244500,2
1155,997,2,1,0,4,7,6267500,1
1443,1000,4,1,0,25,8,7793500,4
1936,1506,4,2,0,18,6,10252000,2
1986,1490,5,2,0,23,9,10827000,3
1267,809,5,1,0,5,3,7451500,3
3027,2715,4,2,1,23,1,14961500,1
3358,2443,5,3,0,20,10,17311000,4
2542,1910,1,3,1,6,4,12569000,2
2604,2068,1,1,0,9,8,12438000,4
2530,1663,5,3,0,6,6,13665000,2
1345,896,4,3,0,21,7,7782500,1
1274,837,1,3,0,13,9,6823000,2
2763,1976,2,3,1,27,2,13343500,4
3252,2146,4,3,0,9,7,16604000,4
1665,1461,3,2,0,29,4,8412500,1
3026,2464,3,2,1,28,7,14857000,4
3113,2706,4,1,0,19,8,15428500,2
2927,2501,5,3,0,21,2,14951500,1
1217,986,1,2,0,24,7,6046500,2
2765,1860,1,2,1,10,8,13492500,4
2956,2319,4,2,0,13,1,14692000,1
2747,1801,2,3,1,11,10,13991500,2
2908,1860,5,2,1,3,5,15326000,4
1592,1257,2,1,0,12,9,8174000,4
1928,1518,4,1,0,21,2,9756000,3
1977,1279,4,3,0,21,6,10576500,4
885,624,2,1,0,28,2,4322500,2
2975,1844,3,2,1,2,3,14947500,1
2710,2207,4,3,0,12,6,14055000,3
1286,1152,5,1,0,19,5,7357000,4
1905,1565,2,3,0,18,4,9612500,4
2064,1761,3,2,1,14,7,10808000,4
1337,993,2,1,0,18,3,6606500,2
3286,2065,3,2,0,25,10,16087000,3
2558,2092,3,1,0,27,7,12421000,2
2494,1688,5,3,0,19,9,13393000,3
3123,2237,4,1,0,28,2,14993500,1
2085,1690,3,1,0,3,5,10672500,2
2700,2352,4,1,0,5,1,13500000,2
3401,2536,5,3,1,28,7,17344500,1
1085,964,4,1,1,14,2,6252500,3
2113,1597,1,2,0,3,5,10398500,4
2601,1656,3,3,0,5,1,13154500,1
1987,1501,5,3,0,1,1,11071500,4
3056,2622,2,2,1,3,4,15042000,4
1630,1241,5,3,0,17,7,9445000,1
2365,1949,3,1,0,14,7,11812500,3
1267,968,5,3,1,11,8,8131500,4
1820,1390,2,2,1,7,9,9650000,1
1434,982,1,3,0,11,4,7333000,2
1475,974,3,2,0,8,2,7877500,2
3014,2060,3,3,1,6,10,15593000,2
1601,1172,5,2,1,21,10,9334500,1
849,715,4,3,1,7,3,5780500,2
2539,2154,4,1,1,19,9,13045500,4
2218,1439,2,2,0,9,8,11201000,2
1863,1426,1,2,0,10,6,9183500,2
3027,2193,1,3,1,1,3,14801500,4
1471,1134,5,3,0,29,10,8639500,2
1434,1139,5,3,0,3,8,8893000,4
3422,2340,4,1,1,20,2,16649000,2
1518,1329,1,3,1,24,4,7601000,4
2324,2046,1,2,1,20,4,11108000,2
3102,1959,1,3,0,24,9,14829000,4
3013,2443,2,1,0,8,8,14598500,1
1913,1166,2,3,0,7,7,10018500,4
2497,1533,5,3,1,4,4,13606500,2
1002,889,4,2,0,13,7,6199000,2
2705,2186,3,3,1,27,1,13332500,3
3168,2209,4,1,0,1,8,16036000,4
1927,1543,2,3,1,20,8,10021500,1
1738,1483,2,3,0,26,9,8951000,4
809,696,5,2,0,16,9,5670500,4
1664,1008,3,3,1,7,1,9048000,1
1415,1196,1,2,1,1,10,7697500,4
2820,2413,3,2,0,22,7,13900000,1
833,648,3,3,0,14,1,5018500,1
1392,1035,3,2,1,26,6,7494000,4
2507,1587,5,2,0,1,5,13411500,4
2213,1486,2,3,0,27,2,10718500,2
3440,2570,1,3,1,10,3,16480000,2
2766,2377,3,1,1,13,8,13837000,3
934,785,1,1,0,29,2,4223000,3
1959,1466,3,2,1,20,4,10065500,4
2239,1871,2,2,0,9,3,11045500,1
1697,1408,1,3,0,6,7,8766500,3
1814,1403,4,1,1,21,8,9693000,4
923,614,2,1,0,13,4,4893500,3
2390,1683,1,3,0,12,6,11715000,1
883,573,3,3,0,20,3,5223500,4
812,488,3,3,0,21,7,5084000,1
2258,1409,2,3,0,1,8,11741000,4
2341,1938,2,1,1,9,7,11654500,3
1528,932,3,3,1,0,4,8726000,2
1351,972,1,3,0,0,10,7479500,3
2017,1806,4,1,0,23,9,10466500,3
2986,2503,5,3,1,2,10,16147000,2
2421,1997,2,1,0,10,8,11894500,2
1645,1122,3,1,1,18,6,8592500,4
2394,1897,1,3,1,8,2,11763000,4
2492,1868,2,3,1,12,10,12824000,1
704,554,1,2,0,21,7,3798000,1
2089,1526,2,2,0,3,9,10790500,3
2082,1580,3,1,0,19,9,10539000,2
2055,1842,1,1,0,22,9,9757500,1
1369,956,3,2,1,5,9,7960500,3
3363,2236,1,1,0,1,6,15913500,2
3410,2504,2,2,0,8,1,16235000,4
2559,1937,5,3,0,17,6,13575500,3
2627,1643,5,3,1,23,5,13861500,4
978,823,4,3,0,3,7,6491000,1
1312,953,4,1,1,25,8,7354000,1
1972,1427,3,3,0,0,1,10424000,2
824,657,1,1,0,0,10,4708000,3
2337,1944,4,3,0,24,4,12036500,4
1337,1197,2,1,0,19,4,6636500,2
835,544,5,1,0,16,1,5187500,1
782,550,1,2,1,18,4,4209000,1
1311,852,5,2,0,2,7,8109500,3
2492,2153,1,2,1,22,6,11924000,4
3091,2363,4,1,0,21,4,15089500,3
2488,2129,4,2,0,23,2,12436000,4
1222,1094,3,2,1,22,7,6859000,4
1859,1422,1,2,0,16,8,9145500,3
1750,1112,2,1,1,2,9,9235000,2
1348,954,4,1,1,24,9,7586000,3
2802,1711,3,2,0,3,4,14049000,3
2904,2482,4,2,0,26,3,14298000,1
2882,1744,5,1,0,27,5,14379000,1
3147,2447,4,1,0,26,6,15341500,3
2936,1855,1,2,0,28,8,13752000,3
1109,667,3,2,1,12,3,6350500,1
2175,1472,1,2,1,29,6,10357500,4
2423,1854,2,1,0,29,5,11373500,3
3356,2089,2,2,0,29,7,15872000,2
1384,1085,4,1,1,14,9,7948000,2
3423,2743,3,3,1,11,7,17183500,2
2945,2623,3,2,1,2,6,14962500,3
736,640,3,3,0,20,9,4862000,4
3023,2327,3,1,0,7,10,15063500,4
2734,2291,4,3,1,0,4,14453000,1
2377,1685,1,2,1,17,1,11256500,3
1822,1413,4,3,0,12,8,10159000,4
3084,2223,1,3,1,6,6,15108000,3
1933,1355,5,3,0,12,6,10858500,1
2377,1945,5,1,1,16,5,12476500,1
1904,1311,1,2,0,12,10,9528000,1
1363,973,4,1,1,28,3,7273500,2
1301,923,2,3,1,12,6,7264500,3
751,646,4,3,1,29,1,4799500,1
1925,1253,2,1,1,29,7,9382500,3
1901,1358,4,1,0,10,6,10054500,2
2311,2002,3,3,1,13,5,12039500,2
1631,986,3,2,0,20,3,8389500,1
1406,1243,5,1,1,9,8,8397000,1
834,725,5,3,1,7,4,6063000,4
3322,2409,1,3,0,5,9,16199000,3
1160,923,2,2,1,18,9,6460000,1
1925,1727,3,3,1,22,5,10122500,4
637,488,4,1,0,18,7,4256500,3
1759,1106,1,3,1,11,6,9045500,1
3469,2969,4,3,1,20,6,17460500,4
1020,653,3,3,1,6,4,6320000,4
1842,1247,3,3,0,17,10,9949000,3
947,816,3,2,1,25,8,5611500,4
2431,1645,3,1,0,19,10,12159500,3
2169,1786,4,3,0,17,3,11370500,3
3395,2492,1,1,0,22,5,15587500,3
2518,2084,3,2,0,2,1,12641000,2
2920,1955,5,1,1,8,1,14880000,4
2501,1815,1,2,1,26,9,12034500,3
2955,2055,5,1,0,5,4,15097500,1
1997,1347,4,1,1,0,9,10986500,2
3380,2346,3,3,1,9,7,17030000,2
2424,1689,1,1,1,7,10,11918000,4
3091,2740,3,3,1,28,8,15399500,3
1828,1389,3,3,1,22,9,9886000,4
1004,741,1,1,1,16,1,4898000,2
2321,1743,3,3,0,2,7,12254500,3
1820,1635,3,1,1,2,8,9800000,1
3425,2726,2,3,0,29,2,16132500,3
714,579,2,3,1,2,10,5023000,2
2276,1579,1,2,0,6,9,11272000,1
664,492,1,2,1,21,1,3468000,3
1899,1244,3,1,0,10,3,9595500,1
1424,1147,5,3,0,27,9,8418000,1
2886,2029,1,2,1,17,1,13547000,2
2949,2431,3,2,1,4,4,14840500,1
2015,1337,5,2,0,21,10,11047500,4
1568,1130,2,3,1,27,6,8166000,2
968,717,1,1,1,1,6,5286000,4
832,540,3,3,1,13,4,5334000,1
2842,1764,2,3,1,0,10,14639000,4
1506,1046,4,2,0,3,10,8817000,3
1520,1160,2,3,1,13,10,8430000,1
1288,1024,3,3,1,14,10,7666000,3
776,564,5,2,1,27,1,5052000,4
2864,2148,4,2,1,19,5,14508000,3
1634,1246,4,3,0,19,5,9023000,1
2069,1559,4,2,1,16,3,10890500,3
1229,770,1,1,1,2,3,6290500,4
763,550,3,1,1,22,4,4443500,4
2700,1785,4,1,0,3,3,13640000,4
2865,2177,2,1,1,17,3,13652500,1
1423,1177,5,1,0,23,3,7793500,4
3032,2346,3,2,1,26,7,14924000,1
655,436,2,2,1,0,9,4547500,3
717,474,1,1,0,28,1,3216500,4
1397,853,4,1,0,24,8,7606500,3
1379,1003,2,1,1,4,10,7575500,2
3450,2518,3,2,1,17,1,16685000,3
3492,2342,2,2,1,12,9,17074000,2
2038,1690,1,3,1,13,8,10361000,3
2493,1784,5,3,1,19,6,13388500,1
1307,1046,4,3,0,2,6,7941500,3
1703,1348,3,3,1,22,10,9373500,1
621,485,4,2,0,5,7,4644500,1
2100,1832,4,2,0,26,8,10930000,4
1442,872,4,2,1,27,7,8049000,1
2360,1464,2,2,1,10,1,11620000,2
1716,1401,2,1,0,8,10,8862000,4
791,558,5,3,0,19,4,5479500,4
1618,1449,1,2,1,27,4,7791000,3
1726,1147,3,2,0,18,9,9157000,1
995,651,2,3,0,6,9,6007500,1
3287,2552,4,2,0,21,3,16121500,2
1618,1106,1,1,1,20,9,7981000,3
1166,818,3,2,1,9,5,6767000,3
830,727,3,3,0,6,6,5415000,4
1473,895,3,1,0,4,7,7998500,4
3221,2445,3,1,1,24,3,15414500,4
839,587,5,3,1,27,4,5685500,2
689,484,3,3,0,3,5,4790500,2
2879,1941,1,1,1,16,1,13335500,4
1056,676,2,2,1,25,8,5802000,3
2880,1757,1,3,1,27,7,13820000,2
953,854,4,1,1,4,2,5858500,3
1604,1280,5,3,1,16,7,9498000,3
1956,1629,5,2,0,27,9,10612000,1
1038,643,4,2,0,28,5,5961000,4
1998,1207,1,1,1,16,6,9621000,1
944,736,1,2,1,16,5,5028000,4
3311,2705,4,2,1,0,1,16699500,4
1256,902,3,2,1,23,6,6942000,3
2777,1989,3,3,0,1,7,14326500,4
2788,1994,2,1,0,24,5,13116000,3
3062,1977,1,1,1,22,3,14139000,3
1716,1417,1,1,1,29,6,8092000,4
1225,814,4,2,1,26,7,7092500,3
883,615,4,3,1,18,10,6063500,3
2579,2066,3,1,1,8,10,13195500,3
2278,1366,1,3,0,19,9,11221000,2
822,682,1,1,0,22,7,4109000,3
1343,1168,5,2,1,14,3,7963500,2
1062,653,2,1,1,18,1,5419000,2
2168,1685,2,1,0,4,7,10826000,3
2305,1665,3,2,0,12,8,11832500,3
1763,1099,1,2,0,3,1,8623500,2
3004,2417,5,1,1,12,5,15378000,2
2336,1830,1,3,0,5,8,11712000,3
1646,1304,4,2,1,11,10,9437000,3
1264,1066,3,1,1,28,7,6728000,4
1956,1341,2,2,0,8,2,9742000,2
1614,1296,1,3,1,14,4,8233000,2
2732,2248,3,1,0,20,6,13294000,4
3268,2126,2,1,1,14,7,15726000,2
1654,1467,1,3,0,16,7,8373000,1
2364,1659,5,3,0,28,3,12328000,2
2887,2350,3,1,0,4,8,14411500,4
2513,2076,1,3,0,4,7,12478500,1
962,722,2,3,1,24,4,5399000,3
3469,2215,2,1,0,23,10,16450500,4
2012,1373,5,2,0,4,4,11074000,4
1267,849,3,3,0,20,4,7001500,3
2480,1873,3,2,0,13,5,12450000,4
1994,1352,1,2,1,1,2,9903000,2
698,533,2,2,0,8,9,4431000,3
2694,1849,2,3,1,13,6,13513000,4
3486,2092,5,1,1,26,8,17417000,3
1021,723,5,1,1,14,1,6214500,3
2103,1644,3,1,0,3,6,10803500,3
661,550,2,1,1,22,6,3784500,1
1732,1053,1,1,0,25,8,8194000,4
2302,1559,4,1,0,5,1,11709000,1
1197,1072,1,2,0,13,5,6076500,4
991,672,5,2,1,4,3,6579500,2
1675,1395,1,2,0,26,6,8017500,2
3250,2446,2,3,1,10,9,16225000,2
1912,1217,3,3,1,20,10,10354000,4
2629,2084,4,3,1,13,3,13670500,3
2984,2655,3,1,1,6,9,15008000,3
1409,1220,4,2,0,13,9,8130500,1
2005,1618,4,3,0,12,1,10632500,1
3399,2561,2,2,0,17,2,16055500,2
1759,1223,2,1,0,24,4,8435500,1
2131,1506,5,2,0,1,7,11819500,4
1985,1397,5,1,1,8,2,10722500,4
1480,1297,4,3,1,10,7,8760000,1
2199,1458,5,1,1,19,5,11615500,1
3282,2341,2,1,0,28,10,15509000,1
853,622,5,2,1,25,7,5738500,1
2667,1927,4,1,0,10,9,13651500,2
3175,1908,3,3,1,25,9,15887500,2
1768,1204,1,3,1,5,3,9056000,1
1831,1372,5,1,1,0,3,10239500,4
3023,2503,2,2,0,4,7,14873500,2
765,589,3,3,0,21,5,4772500,4
2173,1554,2,3,0,24,5,10748500,3
1216,972,5,1,0,13,5,7162000,4
3259,2606,4,1,1,24,9,16185500,1
2225,1500,1,3,0,15,4,10812500,3
1102,695,1,1,0,8,6,5599000,2
1512,1271,3,1,1,29,6,7774000,2
2726,2068,1,3,1,18,7,13307000,3
1184,773,4,2,1,28,2,6618000,4
2558,1735,2,2,0,19,6,12431000,2
3335,2767,4,3,1,7,9,17267500,1
995,792,3,1,1,7,3,5737500,3
2231,1971,3,3,0,15,2,11339500,1
2480,1833,1,3,1,17,8,12270000,3
1001,616,4,1,0,7,1,5814500,2
1574,1275,2,2,0,22,8,8043000,4
823,556,4,2,0,8,5,5393500,3
1117,778,2,1,1,4,9,6346500,3
3281,2162,2,3,1,1,9,16544500,1
835,578,4,1,1,20,4,5107500,2
715,606,5,3,0,13,1,5107500,1
825,637,4,1,1,17,5,5172500,2
2877,1820,2,1,0,12,7,13856500,1
781,606,3,2,1,11,9,5194500,3
1941,1533,3,2,0,14,10,10254500,1
809,700,1,1,0,20,9,4190500,4
2015,1728,3,1,0,14,9,10337500,2
2743,1697,5,2,0,28,6,13983500,2
1493,1283,2,3,0,24,2,7538500,3
2481,1526,4,2,0,22,5,12574500,2
3403,2199,4,3,0,22,3,16823500,4
1709,1082,5,2,0,0,6,9890500,1
3062,2004,3,2,0,24,5,14849000,3
2626,2208,2,3,0,21,10,13097000,4
993,800,3,1,0,6,1,5498500,2
3343,2694,1,2,0,12,10,16003500,2
1443,1264,3,2,1,27,10,7903500,4
2124,1524,1,2,1,17,2,10168000,1
1203,722,4,1,0,0,5,7063500,1
1181,935,2,2,1,10,6,6564500,3
2642,2273,1,1,0,12,1,12199000,2
2539,2267,3,2,1,19,7,12845500,4
732,519,3,3,0,27,3,4404000,1
3438,2910,4,2,1,8,1,17111000,3
3296,2817,5,2,0,29,7,16502000,2
2868,1845,5,1,1,24,7,14626000,2
1575,1243,3,1,0,29,10,8107500,3
2413,1573,5,1,1,15,3,12558500,3
2143,1572,2,3,1,10,6,11093500,1
3435,2967,5,3,1,2,4,17867500,4
3338,2793,2,1,0,16,4,15701000,2
1957,1509,3,3,1,1,9,10886500,4
638,537,3,1,1,8,7,4311000,2
1916,1237,3,3,0,8,6,10262000,2
3337,2197,4,1,0,15,9,16566500,4
761,504,5,1,1,27,3,4884500,3
2509,2089,1,3,0,0,4,12390500,1
1727,1497,1,2,1,24,9,8591500,2
2808,2158,3,1,1,16,4,13766000,3
2258,2003,5,1,0,9,7,12031000,2
2563,2097,2,2,1,19,9,12753500,1
1657,1274,1,1,1,4,4,8226500,2
2889,2263,3,1,0,7,9,14410500,1
1566,1338,1,3,0,12,7,8057000,1
1489,933,1,2,1,20,4,7350500,2
2760,1795,1,1,1,4,3,13140000,2
2965,2015,3,1,1,3,6,14832500,1
2670,2318,3,2,0,24,3,12985000,3
3471,3066,4,2,1,28,7,17159500,4
3348,2366,4,3,1,7,1,16926000,1
2266,1987,4,3,1,24,7,12017000,2
2041,1559,1,3,0,22,3,9794500,2
1667,1236,5,1,1,6,9,9681500,3
727,617,3,2,1,4,6,4941500,4
757,578,4,3,0,9,7,5376500,1
1426,1050,5,2,0,16,9,8447000,1
2490,1505,4,1,1,27,6,12515000,4
3499,2112,4,1,0,5,10,17545500,1
1111,875,5,2,1,9,2,6969500,4
2692,1674,4,2,1,15,6,13864000,2
2866,2353,1,3,0,21,6,13677000,4
1042,819,1,2,1,9,2,5459000,1
2962,2183,1,3,1,3,7,14669000,4
2824,2295,2,2,1,1,9,14288000,3
2875,2581,4,2,1,0,10,15187500,2
2326,1567,2,2,1,2,4,11777000,2
2606,1999,3,1,0,26,5,12557000,4
2295,1957,5,1,1,12,6,12237500,1
866,523,3,1,1,28,1,4637000,3
1437,949,2,3,0,24,8,7586500,2
1088,822,1,3,0,11,9,6026000,2
1301,996,4,1,0,0,1,7304500,1
1286,804,4,1,0,20,4,6987000,1
1595,1151,1,2,0,9,6,7997500,3
956,722,4,2,0,5,10,6302000,4
1471,1069,5,3,0,8,1,8609500,1
2573,2084,5,3,0,0,3,13828500,4
2851,2370,5,2,1,11,7,15009500,3
1151,849,3,3,1,4,8,7149500,4
2410,1753,1,1,0,0,8,11745000,2
922,748,5,2,1,1,5,6429000,4
3241,2484,2,2,1,13,1,15524500,3
2828,2435,5,3,1,1,1,15006000,3
3146,2341,3,2,1,26,8,15487000,3
682,526,2,2,1,4,5,4389000,4
2950,1883,1,1,0,9,9,14045000,2
861,732,1,2,0,19,1,4244500,1
1383,1005,5,2,1,5,2,8273500,2
1823,1487,2,2,0,4,4,9323500,4
1513,1102,2,2,1,1,10,8438500,4
3339,2004,5,1,1,8,7,17065500,1
1543,1111,5,2,1,28,4,8633500,4
3330,2145,4,1,0,9,8,16605000,3
1918,1380,4,1,1,7,7,10391000,3
2135,1486,5,1,1,24,5,11227500,3
1288,851,3,3,1,26,7,7276000,3
3043,1938,4,3,0,5,8,15793500,3
2372,1941,5,2,1,4,3,12794000,4
1438,1188,2,1,0,20,3,7021000,1
1477,1003,4,3,1,17,2,8356500,1
3470,2597,3,2,1,26,4,16745000,3
648,479,1,3,1,19,4,3786000,4
3436,2427,2,1,0,17,4,16122000,2
892,609,3,2,1,1,2,5544000,2
2251,1476,3,1,1,11,7,11509500,4
1135,978,3,1,1,7,10,6717500,3
910,773,2,3,1,3,3,5535000,1
1136,823,3,2,1,27,10,6522000,4
2526,2062,1,2,1,29,1,11687000,2
3286,2462,4,2,0,19,2,16107000,2
833,521,2,3,1,22,5,4908500,2
1832,1551,3,2,0,3,9,9934000,3
3252,2165,5,3,1,8,4,16924000,2
2741,2225,4,2,0,8,6,14074500,4
2974,2254,2,3,1,11,3,14663000,4
2872,2318,5,2,0,13,9,15014000,2
1566,1160,5,3,1,29,2,8817000,4
1489,1207,3,1,0,2,8,8160500,2
2658,1620,2,1,1,5,3,12961000,2
634,388,3,1,0,14,8,4073000,1
1046,908,1,2,1,22,3,5267000,3
2363,1949,5,3,1,18,4,12723500,3
3088,2620,1,1,1,3,8,14886000,1
3300,2432,3,2,0,29,10,16070000,1
2158,1592,4,3,0,0,4,11711000,3
1194,907,5,1,0,26,9,7003000,2
2625,1766,4,1,1,8,9,13652500,2
2876,2358,2,2,0,22,6,13802000,3
943,800,5,3,1,25,1,6043500,2
1703,1485,1,2,1,15,9,8663500,1
2019,1524,4,1,1,22,9,10645500,2
1913,1385,2,2,1,8,7,9948500,2
2078,1764,5,2,1,11,9,11631000,4
1751,1445,2,1,1,13,8,8969500,4
2521,2168,1,1,1,14,9,12164500,4
1982,1579,5,3,0,21,9,11049000,2
3174,2745,2,3,0,23,7,15373000,3
2722,1705,3,1,1,20,6,13399000,1
2169,1743,5,1,1,15,2,11410500,2
2494,1562,5,3,0,7,7,13533000,3
2843,2344,5,2,1,27,1,14353500,2
2466,1944,5,1,0,9,6,12917000,1
628,379,3,1,1,13,6,4116000,2
1305,1017,1,2,1,16,7,6752500,1
1620,1043,3,3,0,2,2,8850000,2
2663,1711,3,3,0,3,4,13623500,1
2046,1319,2,2,1,15,2,10157000,2
3452,2572,4,1,1,13,4,17024000,1
2259,1433,4,2,0,26,3,11395500,4
1566,998,2,1,0,24,2,7467000,2
2876,1946,3,3,0,23,2,14082000,2
3362,2018,2,1,1,13,3,15969000,3
1172,800,5,1,0,15,10,7174000,3
2206,1732,2,1,1,7,4,10937000,1
1214,947,2,1,0,17,7,6273000,2
925,824,5,1,0,6,4,5942500,1
958,609,4,3,0,27,7,5921000,4
2410,2071,5,2,0,2,4,12905000,3
